Season,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2009,26.6,6-7,221.0,1230,241.7,37.1,80.9,6.6,18.1,19.1,24.7,11.0,30.3,41.3,21.0,7.3,4.8,14.0,21.0,100.0,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3
2008,26.8,6-7,220.0,1230,241.5,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42.0,21.8,7.3,4.7,14.1,21.0,99.9,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
2007,26.6,6-7,219.0,1230,242.2,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
2006,26.5,6-7,220.0,1230,242.1,35.8,79.0,5.7,16.0,19.6,26.3,11.2,29.8,41.0,20.6,7.2,4.7,14.4,22.8,97.0,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
2005,26.9,6-7,220.0,1230,241.9,35.9,80.3,5.6,15.8,19.7,26.1,12.0,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
2004,27.0,6-7,220.0,1189,241.7,35.0,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1,15.0,21.4,93.4,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9
2003,27.2,6-7,219.0,1189,242.0,35.7,80.8,5.1,14.7,18.5,24.4,12.0,30.3,42.3,21.5,7.9,5.0,14.9,21.8,95.1,0.442,0.349,0.758,91.0,0.474,14.0,28.5,0.229,103.6
2002,27.4,6-7,218.0,1189,241.7,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,7.8,5.2,14.5,21.2,95.5,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5
2001,27.7,6-7,216.0,1189,242.0,35.7,80.6,4.8,13.7,18.6,24.9,12.0,30.5,42.5,21.8,7.8,5.3,15.0,22.3,94.8,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103.0
2000,27.8,6-7,216.0,1189,241.5,36.8,82.1,4.8,13.7,19.0,25.3,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231,104.1
1999,27.9,6-7,215.0,725,241.8,34.2,78.2,4.5,13.2,18.8,25.8,12.6,29.1,41.7,20.7,8.4,5.0,15.3,22.2,91.6,0.437,0.339,0.728,88.9,0.466,14.6,30.2,0.24,102.2
1998,27.7,6-7,214.0,1189,241.9,35.9,79.7,4.4,12.7,19.4,26.3,13.1,28.5,41.5,22.0,8.4,5.1,15.5,22.4,95.6,0.45,0.346,0.737,90.3,0.478,14.5,31.4,0.243,105.0
1997,27.7,6-7,213.0,1189,241.9,36.1,79.3,6.0,16.8,18.7,25.3,12.7,28.4,41.1,22.0,8.2,4.9,15.7,22.1,96.9,0.455,0.36,0.738,90.1,0.493,14.8,30.8,0.236,106.7
1996,27.5,6-7,213.0,1189,241.6,37.0,80.2,5.9,16.0,19.5,26.4,12.6,28.6,41.3,22.7,8.0,5.1,15.8,23.0,99.5,0.462,0.367,0.74,91.8,0.499,14.7,30.6,0.243,107.6
1995,27.2,6-7,212.0,1107,241.9,38.0,81.5,5.5,15.3,19.9,27.1,13.0,28.5,41.6,23.4,8.3,5.2,15.9,23.5,101.4,0.466,0.359,0.737,92.9,0.5,14.6,31.4,0.245,108.3
1994,27.2,6-7,211.0,1107,241.1,39.3,84.4,3.3,9.9,19.6,26.6,13.9,29.1,43.0,24.4,8.9,5.2,16.0,22.2,101.5,0.466,0.333,0.734,95.1,0.485,14.3,32.2,0.232,106.3
1993,27.1,6-7,210.0,1107,241.7,40.7,86.0,3.0,9.0,20.9,27.7,13.8,29.3,43.1,24.7,8.6,5.2,15.9,23.2,105.3,0.473,0.336,0.754,96.8,0.491,14.0,32.0,0.243,108.0
1992,27.2,6-7,208.0,1107,241.8,41.3,87.3,2.5,7.6,20.2,26.7,14.4,29.3,43.7,24.5,8.6,5.5,15.6,22.2,105.3,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2
1991,27.2,6-7,209.0,1107,241.8,41.4,87.2,2.3,7.1,21.3,27.9,14.0,29.3,43.3,24.7,8.6,5.3,16.0,23.2,106.3,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9
1990,27.1,6-7,208.0,1107,241.5,41.5,87.2,2.2,6.6,21.8,28.5,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107.0,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1
1989,26.9,6-7,208.0,1025,241.5,42.5,89.0,2.1,6.6,22.1,28.8,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2,0.477,0.323,0.768,100.6,0.489,14.5,33.0,0.249,107.8
1988,26.9,6-7,209.0,943,241.3,42.1,87.7,1.6,5.0,22.3,29.1,14.2,29.2,43.4,25.8,8.5,5.4,16.7,24.1,108.2,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108.0
1987,26.6,6-7,209.0,943,241.6,42.6,88.8,1.4,4.7,23.2,30.5,14.7,29.3,44.0,26.0,8.6,5.5,17.0,24.5,109.9,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3
1986,26.8,6-7,208.0,943,241.6,43.2,88.6,0.9,3.3,22.9,30.3,14.1,29.4,43.6,26.0,8.8,5.3,17.8,25.2,110.2,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2
1985,26.4,6-7,207.0,943,241.4,43.8,89.1,0.9,3.1,22.4,29.4,14.3,29.2,43.5,26.3,8.5,5.3,17.9,24.9,110.8,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9
